//X,Y,Z,R,G,B,NumberOfReturns,ReturnNumber,GpsTime,Intensity,Classification
4817
-6.82974997,-8.16074999,-1.74199998,52,49,15,1.000000,1.000000,230.400125,49129.000000,1.000000
-6.82675001,-8.16199999,-1.74975001,112,112,62,1.000000,1.000000,230.420694,49675.000000,1.000000
-6.82399997,-8.16025000,-1.75125002,107,109,60,1.000000,1.000000,230.420694,50134.000000,1.000000
-6.82149997,-8.16175001,-1.75075000,87,85,41,1.000000,1.000000,230.441248,49063.000000,1.000000
-6.82474998,-8.16425001,-1.74650001,98,93,57,1.000000,1.000000,230.441233,49085.000000,1.000000
-6.82149997,-8.16425001,-1.74575000,66,62,31,1.000000,1.000000,230.461786,49260.000000,1.000000
-6.82224998,-8.16225000,-1.74825000,114,112,67,1.000000,1.000000,230.441233,48277.000000,1.000000
-6.81675002,-8.16425001,-1.74975001,89,89,18,1.000000,1.000000,230.482340,49522.000000,1.000000
-6.81850001,-8.16175001,-1.75024997,47,42,5,1.000000,1.000000,230.461786,49282.000000,1.000000
-6.81700000,-8.16449999,-1.74674999,40,37,3,1.000000,1.000000,230.482340,49500.000000,1.000000
-6.82075003,-8.16375001,-1.74849998,57,52,19,1.000000,1.000000,230.461786,48233.000000,1.000000
-6.81850001,-8.16524999,-1.74449997,50,43,24,1.000000,1.000000,230.482340,50221.000000,1.000000
-6.83675000,-8.16025000,-1.74774998,65,62,17,1.000000,1.000000,230.359034,46398.000000,1.000000
-6.83175001,-8.15999999,-1.74550002,44,41,7,1.000000,1.000000,230.379587,48626.000000,1.000000
-6.83500001,-8.15874999,-1.74349999,89,84,34,1.000000,1.000000,230.359034,47818.000000,1.000000
-6.83175001,-8.15999999,-1.74250000,48,43,6,1.000000,1.000000,230.379572,49260.000000,1.000000
-6.83500001,-8.15850001,-1.74050003,139,131,69,1.000000,1.000000,230.359018,48299.000000,1.000000
-6.83475003,-8.15824999,-1.73725002,158,148,72,1.000000,1.000000,230.359018,49042.000000,1.000000
-6.82974997,-8.15850001,-1.73825001,69,62,17,1.000000,1.000000,230.379572,50090.000000,1.000000
-6.82850000,-8.15999999,-1.74424999,64,62,20,1.000000,1.000000,230.400125,48889.000000,1.000000
-6.82699999,-8.15850001,-1.73725002,43,36,8,1.000000,1.000000,230.400125,49828.000000,1.000000
-6.80074999,-8.19175001,-1.78650003,56,63,56,1.000000,1.000000,230.728983,46005.000000,1.000000
-6.79599998,-8.18800001,-1.78724998,104,114,108,1.000000,1.000000,230.728983,47622.000000,1.000000
-6.79999998,-8.18725001,-1.78299999,52,54,51,1.000000,1.000000,230.708429,48758.000000,1.000000
