//X,Y,Z,R,G,B,NumberOfReturns,ReturnNumber,GpsTime,Intensity,Classification
4474
-6.70874998,-8.12725001,-1.50950002,92,98,37,2.000000,1.000000,230.790369,25602.000000,0.000000
-6.70374999,-8.12699999,-1.50999998,82,87,35,2.000000,1.000000,230.810923,21976.000000,0.000000
-6.69825003,-8.12525000,-1.51050001,66,69,30,2.000000,1.000000,230.831476,16165.000000,0.000000
-6.71175000,-8.12350001,-1.51275002,91,97,33,2.000000,1.000000,230.749277,34209.000000,0.000000
-6.71125004,-8.12000000,-1.50900000,136,145,74,2.000000,1.000000,230.728723,17476.000000,0.000000
-6.70899996,-8.12124999,-1.50550001,130,136,63,2.000000,1.000000,230.749277,16274.000000,0.000000
-6.85400000,-8.11349999,-1.24924999,169,175,68,2.000000,1.000000,230.009104,22631.000000,0.000000
-6.85075000,-8.11674999,-1.24850004,199,156,57,2.000000,1.000000,230.050211,24597.000000,0.000000
-6.84849998,-8.11850001,-1.24824994,222,169,82,2.000000,1.000000,230.070749,23177.000000,0.000000
-6.85125002,-8.11375000,-1.24599998,177,181,74,2.000000,1.000000,230.029657,12648.000000,0.000000
-6.83675000,-8.12874999,-1.24875002,174,169,60,2.000000,1.000000,230.194056,25951.000000,0.000000
-6.84050003,-8.12475001,-1.24774998,156,153,57,2.000000,1.000000,230.152948,17235.000000,0.000000
-6.84225002,-8.12325000,-1.24750000,134,129,44,2.000000,1.000000,230.132410,12866.000000,0.000000
-6.84625003,-8.12299999,-1.24875002,85,80,9,2.000000,1.000000,230.111856,14046.000000,0.000000
-6.83699998,-8.12525000,-1.24850004,150,145,27,2.000000,1.000000,230.173502,29250.000000,0.000000
-6.83224997,-8.12200000,-1.24375003,139,143,24,2.000000,1.000000,230.173502,11992.000000,0.000000
-6.84550002,-8.11924999,-1.24824994,131,99,25,2.000000,1.000000,230.091303,23505.000000,0.000000
-6.83000001,-8.12624999,-1.24675005,168,165,61,2.000000,1.000000,230.214609,21670.000000,0.000000
-6.68800005,-8.07125001,-1.53124999,110,127,81,2.000000,1.000000,230.523279,35279.000000,0.000000
-6.69475004,-8.07050001,-1.52974998,91,113,70,2.000000,1.000000,230.482172,28398.000000,0.000000
-6.69525001,-8.07074999,-1.52700000,83,102,67,2.000000,1.000000,230.482172,24466.000000,0.000000
-6.69074997,-8.07300000,-1.51850002,60,76,41,2.000000,1.000000,230.523264,11424.000000,0.000000
-6.68599996,-8.06725000,-1.52600002,107,130,78,2.000000,1.000000,230.502726,34034.000000,0.000000
-6.68300006,-8.07074999,-1.52600002,121,137,89,2.000000,1.000000,230.543817,33335.000000,0.000000
-6.68375000,-8.06800001,-1.52600002,120,138,87,2.000000,1.000000,230.523264,33881.000000,0.000000
-6.68074998,-8.07250001,-1.52249997,96,117,62,2.000000,1.000000,230.564371,31041.000000,0.000000
-6.68675003,-8.07024999,-1.52200001,110,128,86,2.000000,1.000000,230.523264,32133.000000,0.000000
-6.68300006,-8.06725000,-1.52275001,109,129,79,2.000000,1.000000,230.523264,34274.000000,0.000000
-6.67650005,-8.07175001,-1.52350002,89,109,55,2.000000,1.000000,230.584925,27961.000000,0.000000
-6.67850003,-8.07074999,-1.52399998,92,108,63,2.000000,1.000000,230.564371,30823.000000,0.000000
-6.68525002,-8.06675001,-1.52249997,97,119,74,2.000000,1.000000,230.502710,31871.000000,0.000000
-6.68050000,-8.07475000,-1.51999997,91,115,55,2.000000,1.000000,230.584909,25667.000000,0.000000
-6.68724999,-8.06800001,-1.52074998,92,109,75,2.000000,1.000000,230.502710,27721.000000,0.000000
-6.68624994,-8.07000001,-1.51875000,96,112,76,2.000000,1.000000,230.523264,26017.000000,0.000000
-6.68774995,-8.06850000,-1.51824998,63,75,51,2.000000,1.000000,230.502710,17956.000000,0.000000
-6.68050000,-8.06875001,-1.51875000,113,130,82,2.000000,1.000000,230.543817,34165.000000,0.000000
-6.67725000,-8.07250001,-1.52100002,94,117,58,2.000000,1.000000,230.584925,27699.000000,0.000000
-6.67700002,-8.06949999,-1.51775002,103,123,66,2.000000,1.000000,230.564371,25711.000000,0.000000
-6.67924997,-8.07125001,-1.51600003,104,122,67,2.000000,1.000000,230.564356,16340.000000,0.000000
-6.67899999,-8.06775000,-1.51525002,113,129,81,2.000000,1.000000,230.543817,28267.000000,0.000000
-6.67650005,-8.06574999,-1.51950001,107,123,74,2.000000,1.000000,230.543817,35410.000000,0.000000
-6.67725000,-8.06600001,-1.51125001,89,105,57,2.000000,1.000000,230.543802,13718.000000,0.000000
-6.69975004,-7.90549999,-0.65874999,120,134,65,2.000000,1.000000,229.371363,13806.000000,0.000000
-6.70525000,-7.90350001,-0.65899997,120,110,43,2.000000,1.000000,229.330255,26563.000000,0.000000
-6.70249996,-7.90450000,-0.65950006,122,126,61,2.000000,1.000000,229.350809,20468.000000,0.000000
-6.69800004,-7.89875000,-0.65975004,122,121,52,2.000000,1.000000,229.330271,14985.000000,0.000000
-6.69749996,-7.89549999,-0.65724998,106,86,28,2.000000,1.000000,229.309717,29468.000000,0.000000
-6.69774994,-7.89249997,-0.65475004,184,165,64,2.000000,1.000000,229.289164,33532.000000,0.000000
-6.69500002,-7.88850003,-0.65599995,135,125,57,2.000000,1.000000,229.268610,31478.000000,0.000000
-6.69475004,-7.88499998,-0.65525001,167,154,78,2.000000,1.000000,229.248056,18830.000000,0.000000
-6.69175002,-7.88625001,-0.65749996,103,112,37,2.000000,1.000000,229.268610,31762.000000,0.000000
-6.68850002,-7.88625001,-0.66000002,119,137,57,2.000000,1.000000,229.289164,28988.000000,0.000000
-6.68949995,-7.88674997,-0.65774994,105,121,50,2.000000,1.000000,229.289164,31631.000000,0.000000
-6.68850002,-7.88399999,-0.65899997,120,140,54,3.000000,1.000000,229.268610,31085.000000,0.000000
-6.68274996,-7.88525002,-0.65850001,115,126,52,3.000000,1.000000,229.309717,23527.000000,0.000000
-6.68399999,-7.88324999,-0.66150003,123,145,63,2.000000,1.000000,229.289164,19354.000000,0.000000
-6.68500003,-7.88174998,-0.66099995,117,141,57,3.000000,1.000000,229.268625,22172.000000,0.000000
-6.67975006,-7.88324999,-0.66025000,125,141,62,2.000000,1.000000,229.309717,14483.000000,0.000000
-6.69249997,-7.88924997,-0.65599995,95,90,38,2.000000,1.000000,229.289164,32243.000000,0.000000
-6.68749997,-7.88875001,-0.65724998,98,103,43,2.000000,1.000000,229.309717,23199.000000,0.000000
-6.69325003,-7.88399999,-0.65724998,134,135,52,2.000000,1.000000,229.248056,20490.000000,0.000000
-6.68774995,-7.88025003,-0.66125005,108,136,52,2.000000,1.000000,229.248072,14789.000000,0.000000
-6.68850002,-7.88074999,-0.65874999,117,134,47,2.000000,1.000000,229.248072,21692.000000,0.000000
-6.70374999,-7.89899998,-0.57125001,128,131,80,2.000000,1.000000,229.309580,35956.000000,0.000000
-6.70325002,-7.89574998,-0.56925004,132,132,73,2.000000,1.000000,229.289026,33816.000000,0.000000
-6.77325001,-8.04425000,-0.39749997,74,73,35,2.000000,1.000000,229.987467,38119.000000,0.000000
-6.77000001,-8.04500001,-0.39950006,127,118,57,2.000000,1.000000,230.008020,33532.000000,0.000000
-6.77225003,-8.04350000,-0.39974993,86,83,46,2.000000,1.000000,229.987467,37770.000000,0.000000
-6.77350000,-8.04425000,-0.39499991,82,89,41,2.000000,1.000000,229.987467,30146.000000,0.000000
-6.76974997,-8.04475000,-0.39700001,129,127,73,2.000000,1.000000,230.008020,33990.000000,0.000000
-6.77100000,-8.04575001,-0.39475005,102,109,50,2.000000,1.000000,230.008020,26126.000000,0.000000
-6.76850000,-8.04649999,-0.39974993,188,177,97,3.000000,1.000000,230.028574,29075.000000,0.000000
-6.76750001,-8.04575001,-0.39725011,183,177,108,3.000000,1.000000,230.028574,30866.000000,0.000000
-6.76474998,-8.04675000,-0.39624994,185,176,114,2.000000,1.000000,230.049128,15531.000000,0.000000
-6.76699999,-8.04550000,-0.39475005,114,114,54,2.000000,1.000000,230.028574,26497.000000,0.000000
-6.76100001,-8.04425000,-0.39324992,125,124,64,2.000000,1.000000,230.049112,10201.000000,0.000000
-6.78999999,-8.01325001,-0.40125006,192,181,102,1.000000,1.000000,229.699778,35476.000000,0.000000
-6.78550002,-8.02224999,-0.39900010,99,107,63,2.000000,1.000000,229.781977,36262.000000,0.000000
